schema_version,dataset_id,artifact_name,name,description,upstream_url,upstream_version,upstream_checksum,retrieval_date,extraction_script_commit,license_identifier,license_url,citation,attribution,redistribution_notes,network_count
1,australia_submarine_cables_2021,australia_submarine_cables_2021,Australia submarine cables 2021,16 independent approximate cable routes in Australian protection zones,https://www.arcgis.com/home/item.html?id=bc1e7fb37fca40faa5dafbc8a5a4dc3c,ArcGIS layer snapshot retrieved 2026-08-08,sha256:3e668e85e2a6ea9bac963ca002b73c3b622de71e5973f862fda869527488f6ae,2026-08-08,29b3141e7ba71c5878ecf1d54af26591e1759dc8,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,"Australian Communications and Media Authority, Australia's Submarine Telecommunication Cable Locations 2021.",Australian Communications and Media Authority © Commonwealth of Australia.,CC BY 4.0; approximate routes cover protection zones and endpoints are not merged.,16
1,cotes_darmor_2016,cotes_darmor_2016,Côtes-d'Armor 2016 fibre,Separate joined artery and optical-cable networks,https://www.data.gouv.fr/datasets/fibre-optique-noeuds-de-la-montee-en-debit-dans-le-departement-des-cotes-darmor-en-2016,Dat'Armor raw tables retrieved 2026-08-08,sha256:nodes=9f14059ff85ecbfb14d60f9a2bfe12cb3fcf41d741c5ac96b38f5344eff30bc0;arteries=c25691c121ef85d9cb1c4ab475d39d2bd1c4bbd302781503e9b7cd3fc5e22c58;cables=de8330b160860808a5d4d19957fce9d7d58cd5842cdb6ba60411bee65516c5f6,2026-08-08,909d5c0411da90988903c738ebedab4a1976b49d,etalab-2.0,https://www.etalab.gouv.fr/licence-ouverte-open-licence/,"Département des Côtes-d'Armor, fibre optique de la montée en débit, 2016 node, artery, and optical-cable tables.",Département des Côtes-d'Armor / Dat'Armor.,French Open Licence 2.0; source length unit is assumed to be metres and geometry-based ID repairs are audited.,2
1,gold_coast_fibre,gold_coast_fibre,City of Gold Coast fibre,Approximate municipal fibre route network,https://data.gov.au/data/dataset/fibre-optic-cable,WFS response retrieved 2026-08-08,sha256:4f979c39c6d467313cb0659e4a92294c5f8f53d4465a7713415e7dd525529721,2026-08-08,b9079df2cd09d861c2ef1e47e83fcb8b89265023,CC-BY-3.0-AU,https://creativecommons.org/licenses/by/3.0/au/,"City of Gold Coast, Fibre Optic Cable, data.gov.au dataset fa5452e4-7713-4c15-b647-ba0191a8c25c.",City of Gold Coast.,All locations dimensions and depths must be confirmed on site; CC BY 3.0 Australia.,1
1,grand_lyon_fibre,grand_lyon_fibre,La Fibre Grand Lyon,Metropolitan public-initiative fibre route network,https://data.grandlyon.com/geoserver/metropole-de-lyon/ows?SERVICE=WFS&VERSION=2.0.0&request=GetFeature&typename=metropole-de-lyon%3Atel_telecom.fibre_rip_thd&outputFormat=application%2Fjson&SRSNAME=EPSG%3A4326,WFS response retrieved 2026-08-08,sha256:11fd3773ef36ed41c2075aa752b506b79d2704bebfc3f79863ac0afaa69ccfdd,2026-08-08,909d5c0411da90988903c738ebedab4a1976b49d,etalab-2.0,https://www.etalab.gouv.fr/licence-ouverte-open-licence/,"Métropole de Lyon, Réseau d'initiative publique – La Fibre Grand Lyon, WFS layer tel_telecom.fibre_rip_thd.",Métropole de Lyon.,French Open Licence 2.0; normalized topology and distances are derived.,1
1,internet_topology_zoo,internet_topology_zoo,Internet Topology Zoo,85 coordinate-complete Internet and research-network topologies,https://doi.org/10.25909/30153949.v1,Figshare version 1 file 58057750,sha256:7fba0617df71911a30df116478d1fc75758963c7b2569dd81818f47cf5b814c1,2026-08-08,f27d5a83f208b78786f1330da77d34adfaef26f6,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,"Knight et al., The Internet Topology Zoo, IEEE Journal on Selected Areas in Communications 29(9), 2011; licensed Figshare deposit 30153949.v1.",Internet Topology Zoo authors and the original map sources retained in artifact metadata.,CC BY 4.0; incomplete named networks are excluded and coordinates can be geocoded places.,85
1,topology_bench,topology_bench,Topology Bench,105 real georeferenced optical-network benchmark topologies,https://zenodo.org/records/13921775,Zenodo record 13921775,sha256:f2ad31ecc53378dd8992beedfe93141454bc1915257bd78e4e0dca3484ed45c8,2026-08-08,f3e511b95b6029372031475cc403206382427aab,CC-BY-4.0,https://creativecommons.org/licenses/by/4.0/,"Virgillito et al., Topology Bench: Systematic Graph Based Benchmarking for Optical Networks, Zenodo record 13921775 (2024).",Topology Bench authors and the per-topology sources named by the upstream collection.,CC BY 4.0; retain per-topology provenance and describe modifications.,105
1,vermont_state_fibre,vermont_state_fibre,Vermont state-owned fibre,Separate built and not-built or planned state-owned route networks,https://maps.vcgi.vermont.gov/arcgis/rest/services/PSD_services/OPENDATA_PSD_LAYERS_SP_NOCACHE_v1/MapServer/46,ArcGIS layer snapshot retrieved 2026-08-08,sha256:4d0d7f30e026301056827f2575da75983791fda712895f709c94e8d7ef254f26,2026-08-08,909d5c0411da90988903c738ebedab4a1976b49d,Vermont-Open-Geodata-Policy,https://files.vcgi.vermont.gov/other/policies/vermont-open-geodata-policy.html,"Vermont Center for Geographic Information, PSD State-Owned Fiber Routes, MapServer layer 46.",Vermont Center for Geographic Information and Vermont Department of Public Service.,Direct non-value-added reproduction with intent to sell is restricted; accuracy is unknown.,2
